dataset,K-means (Euclidean),K-medoids (Euclidean),K-shape,K-means (DTW),C-means (Euclidean),TADPole,Density Peaks (Euclidean),Agglomerative (Euclidean)
UWaveGestureLibraryX,0.4244011610988999,0.4069120911992,0.40137581438489994,not available,0.42862396496979993,not available,0.506512,0.4861695230458455
MedicalImages,0.24037986941609998,0.23563290209370003,0.2630306855272,not available,0.2571208030541,not available,0.271688,0.24088626494850085
BME,0.44167870366499995,0.4636475153679,0.5345091534565,not available,0.41991588775280003,not available,0.505153,0.4531783991936451
RefrigerationDevices,0.33386943969379995,0.33490650455570004,0.3442432105756,not available,0.3336533613503,not available,0.57427,0.5474536112146727
GunPointAgeSpan,0.5493184243640001,0.5493184243640001,0.706364268925,not available,0.5493184243640001,not available,0.549318,0.5493184243635072
TwoPatterns,0.2642203631553,0.2698625161775,0.42843325013199995,not available,0.30813618410669996,not available,0.405966,0.2775238272174923
PigCVP,0.09395545945959001,0.09029044630981001,0.11285892637521999,not available,0.1710531335351,not available,0.094539,0.10948851147366137
Yoga,0.5410985532410999,0.5464779167564,0.5226307156717,not available,0.5441366387999998,not available,0.525876,0.5880845663388571
CricketZ,0.1799338891169,0.1652417266974,0.23518353789360003,not available,0.1847084299288,not available,0.202212,0.19792311745558813
MelbournePedestrian,0.5030081127133,0.5144289646599,0.31980786971840003,not available,0.5121099424026999,not available,0.508169,0.5669123747774379
MixedShapesSmallTrain,0.5810054494173001,0.5357571167641,0.597696949615,not available,0.5540214466082001,not available,0.595273,0.6614751004947518
Meat,0.7587326883596,0.7638592154722,0.6596960400132,not available,0.6605216470622,not available,0.878663,0.6780786112964261
SemgHandSubjectCh2,0.30769847223940006,0.3006785680846,0.37712934391249997,not available,0.29500725176200004,not available,0.386326,0.3086131967439207
Adiac,0.2801505153249001,0.27745950005860004,0.27152181285309995,not available,0.20732789193530002,not available,0.3015,0.2356983420324441
Lightning7,0.38643160244260005,0.35938514168810004,0.47634020154719997,not available,0.35239748632100004,not available,0.373309,0.41009533706501694
ProximalPhalanxOutlineCorrect,0.5650143107465,0.5621608696708,0.5654704638014,not available,0.5659914195109998,not available,0.559648,0.5546533670527355
Wine,0.5451031406596001,0.5311405278759,0.5478124727290001,not available,0.508744480424,not available,0.687035,0.5432794917320248
Coffee,0.6959044816293,0.7796442763135,0.5807112368598,not available,0.9059535802574,not available,1.0,0.833264428378064
NonInvasiveFetalECGThorax2,0.5133248231849,0.4724655968207,0.4915940817412,not available,0.2534478770377,not available,0.35449,0.5647304190799173
StarLightCurves,0.7096735148869,0.6104759075688999,0.7267077803004,not available,0.7064057131499999,not available,0.72487,0.6999821089065759
Herring,0.510212076737,0.5231325337946999,0.5088218458700999,not available,0.5056330784869999,not available,0.530575,0.5355559058711757
HouseTwenty,0.5805169714662,0.595346809713,0.6575261401421,not available,0.5598274590947,not available,0.607579,0.5347922533554791
Computers,0.5046509364631,0.5173256878661,0.6009494324996,not available,0.5023304418753,not available,0.532911,0.5022314278747989
MixedShapesRegularTrain,0.5650004320545999,0.45633532509380004,0.5650630337328,not available,0.5323925930511,not available,0.568077,0.6547815073874019
ProximalPhalanxTW,0.5495712069007,0.5498189717007,0.5837844941982999,not available,0.5318223979411999,not available,0.495642,0.5654962031244093
LargeKitchenAppliances,0.39663929231780004,0.3746532268422,0.545002610939,not available,0.3621997281756,not available,0.455027,0.35264831339187286
UMD,0.44522395258189995,0.43510286625960004,0.471591404701,not available,0.4453533082864,not available,0.428006,0.43178898046139536
ProximalPhalanxOutlineAgeGroup,0.6492262082128999,0.6503198917702001,0.687749027222,not available,0.6958442744609,not available,0.608143,0.7035416886005229
ChlorineConcentration,0.3836994421177,0.38142804583850004,0.38326043267000004,not available,0.37908021005,not available,0.376502,0.37764351992296996
Earthquakes,0.5823798638934999,0.5820245654859999,0.7502613815556,not available,0.582351061636,not available,0.584962,0.6003614977144646
Crop,0.34182172660919996,0.3144200441073,0.2120226724394,not available,0.3105398625642,not available,0.292663,0.3651884481780954
ScreenType,0.34734672064589994,0.36737232471590003,0.3781832348224,not available,0.4043727425838,not available,0.399914,0.3519198542511632
TwoLeadECG,0.501931510259,0.501535735681,0.5477983934316,not available,0.501408959772,not available,0.507136,0.5030760522286367
PigArtPressure,0.17769265416129998,0.16470432043849997,0.12679578233499997,not available,0.1516435452788,not available,0.1843,0.2075064221385125
SemgHandMovementCh2,0.3178389639763,0.312023272131,0.3110558976659,not available,0.32681646304819995,not available,0.33531,0.3174095016484256
CinCECGTorso,0.3668266771598,0.36534093211060004,0.3262291705998,not available,0.34580523246850003,not available,0.597651,0.3683736463926343
MoteStrain,0.6963459723211,0.7093997778686,0.8060449936267,not available,0.7255235327088,not available,0.780452,0.7036619003168852
