dataset,K-means (Euclidean),K-medoids (Euclidean),K-shape,K-means (DTW),C-means (Euclidean),Density Peaks (DTW),Density Peaks (Euclidean),Agglomerative (Euclidean)
BirdChicken,0.05099717369608,0.04248717577287,0.083303780801087,0.024218,0.0457691271692,0.253742,0.023577,0.04744860624578698
PhalangesOutlinesCorrect,0.009840710861440002,0.00491126632491,0.009935878304599998,0.002002,0.0111234211486,in progress,0.001391,0.00029896345582410623
EOGHorizontalSignal,0.4132465130028001,0.39291210312400005,0.3165471655809,0.390446,0.3610807536963,0.03133,0.363859,0.44019544092378576
Mallat,0.9150017130642001,0.8875413620431001,0.9288633878413,0.91568,0.9616534019930001,0.819853,0.837673,0.9596586251400797
ScreenType,0.01966903758233,0.014170922685189,0.012192742048459,0.013311,0.035677903285559996,0.018288,0.005307,0.01983591719929049
ProximalPhalanxTW,0.46272914384729996,0.4662982442089,0.4874620262332,0.477037,0.436515242962,0.588143,0.499628,0.4690613143082356
ToeSegmentation2,0.008425064383911,0.006638380476218999,0.19012548121739997,0.006807,0.006468955902867,0.000894,0.002392,0.02825304021078637
Computers,0.0021535105710758,0.00221453760044873,0.10014204029943,0.002279,0.0007876275299478699,0.009959,0.000961,0.0001900013135321234
TwoPatterns,0.02046445962389,0.023343704263640002,0.3248218595867,0.085909,0.024281772813819998,in progress,0.133955,0.02673418264657265
Fish,0.3507169698791,0.310795194573,0.38550856887159995,0.420402,0.1192974105612,0.286072,0.441394,0.3603405305245531
NonInvasiveFetalECGThorax1,0.7324345686516001,0.7040004409019001,0.7468230363036001,0.71285,0.5828751313595001,in progress,0.804732,0.7929200553022223
CricketZ,0.2545378936729,0.2109072354937,0.3418663375255,0.304418,0.12540700586859999,0.395817,0.190807,0.2859815731953358
Crop,0.5399343904155001,0.5187738101234001,0.42687121574879994,0.531164,0.49496742973869995,in progress,0.577078,0.5809245651396685
RefrigerationDevices,0.0020873053585105,0.0019851827614949,0.007976785745604,0.144361,0.0018939109363517001,0.030304,0.089136,0.054416914010652
Plane,0.8807025879300999,0.8242429206137001,0.9388773374899,0.947038,0.887879804659,1.0,0.968904,0.9305479526640485
UMD,0.21865455896900002,0.19458221766779998,0.2310192302379,0.242207,0.2160901175586,0.340434,0.176292,0.19291616316604734
SwedishLeaf,0.5694486370742999,0.5236204205857999,0.5977797287923,0.52494,0.5269319951693,0.677245,0.545207,0.6296727170700541
OSULeaf,0.21098945338100003,0.1753833609609,0.3368536238561,0.191528,0.1378316532602,0.099969,0.169862,0.26170058171192506
CinCECGTorso,0.22307742051899998,0.20070878574460002,0.10741649198274002,0.297718,0.07413362330196001,0.483642,0.614475,0.2665241860458156
SonyAIBORobotSurface1,0.39607731147229996,0.27325200650438297,0.4689464788391124,0.608846,0.47022649750146,0.099593,0.033025,0.4719796981100358
SmoothSubspace,0.483797251589,0.3164384941772,0.2861574737623,0.453067,0.5934085708165999,0.316715,0.353864,0.521992883475149
