dataset,K-means (Euclidean),K-medoids (Euclidean),K-shape,K-means (DTW),C-means (Euclidean),TADPole,Density Peaks (Euclidean),Agglomerative (Euclidean)
DiatomSizeReduction,0.8283491217585001,0.8191314785487,0.8223026543007,0.601884,0.7411234103529999,0.963438,0.748132,0.857049116326134
SwedishLeaf,0.2992785360974,0.28154681223690003,0.324003481363,0.145627,0.2691544564325,0.044083,0.090691,0.3003155750256321
CricketY,0.1255875674762,0.10734640768668,0.17585744503460002,0.143149,0.06554433585748001,0.113581,0.078662,0.13510191850700712
DodgerLoopDay,0.22704386670790005,0.2303629943623,0.0810329174061131,0.167444,0.20017157023300003,0.18417,0.216115,0.19877178933412798
CricketX,0.09980354928932,0.06684992801769,0.1633713717745,0.125064,0.028166973770860006,0.136605,0.044602,0.11416897202103442
UWaveGestureLibraryX,0.3393548813816,0.31639440935019997,0.3042412825848,0.391899,0.3168883958092,0.491838,0.397008,0.4092919211624873
MedicalImages,0.05047859847646,0.044130439101172,0.07634450374002,0.047276,0.05442818557719,-0.039865,0.042612,0.042430418437697286
BME,0.1361705539762,0.1642297869948,0.23059051511519996,0.361223,0.12392890606410001,0.220041,0.227747,0.18371993827702573
RefrigerationDevices,-0.0004207064681335,-0.0005852284658887,0.0051955059147038,0.0,-0.0006275875736657,0.011754,-4e-06,0.0006706808621352098
GunPointAgeSpan,-0.001729990415,-0.001729990415,0.0,-0.00173,-0.001729990415,-0.00173,-0.00173,-0.001729990414995929
TwoPatterns,0.01762621140039,0.02015956870344,0.20636053681080005,0.074647,0.022208081555039998,0.294928,0.084074,0.022128750358345054
PigCVP,0.06839408757781999,0.06505037538372999,0.0034056946968140005,0.094005,0.07909826912641998,0.043523,0.051027,0.08268388893609906
Yoga,-0.0009722200869128998,-0.0011770446644702,0.0011695744167980998,-0.001395,-0.00012317028956,0.002716,-0.000333,-0.0019929234988472454
CricketZ,0.10182085112127,0.07446385059807001,0.16051458485779999,0.134346,0.028754141270650003,0.140361,0.046236,0.12327019682286701
MelbournePedestrian,0.43775276827740006,0.4475461230535999,0.10376364337891,0.406641,0.43452534857450004,0.240771,0.410259,0.47496485175278036
MixedShapesSmallTrain,0.4598548107399001,0.39857111943089996,0.4831313999903,0.528397,0.41203016915949997,0.524839,0.399098,0.5542962935172788
Meat,0.6197050378207,0.6238911889612,0.45693991240200005,0.549842,0.48799099942040003,0.450178,0.818197,0.44350580781414994
SemgHandSubjectCh2,0.08099323714340999,0.08252240337646,0.11507557624257,0.096665,0.07058855238039999,0.002954,0.025903,0.10027132407631448
Adiac,0.2524062737558,0.2515578160006,0.2368296141275,0.225334,0.17718811195239997,0.107708,0.231463,0.17834213267982987
Lightning7,0.2574464799252,0.21906576856539997,0.3542599688538,0.203096,0.1536491593598,0.175838,0.231542,0.2989475020750093
