dataset,K-means (Euclidean),K-medoids (Euclidean),K-shape,K-means (DTW),C-means (Euclidean),Density Peaks (DTW),Density Peaks (Euclidean),Agglomerative (Euclidean)
DistalPhalanxOutlineCorrect,0.4994366601432999,0.49963992172200006,0.49945205479500004,in progress,0.499493803001,0.5021,0.506758,0.500808871493803
BirdChicken,0.5210256410255,0.5142307692307,0.5317948717949,in progress,0.519230769231,0.519231,0.492308,0.5192307692307693
PhalangesOutlinesCorrect,0.5052834017670002,0.503958055627,0.505362412787,in progress,0.505362412787,0.500385,0.524124,0.49996162726452237
EOGHorizontalSignal,0.8594423175382,0.8613958873019,0.8382487792575999,in progress,0.8680547595576,0.848624,0.676253,0.8377692701527552
Mallat,0.9420726344309,0.9285809365012,0.9210571766013,in progress,0.9891868139499997,0.809562,0.884377,0.9617215506461025
ScreenType,0.5622052514463001,0.5427243435693,0.5314064975524,in progress,0.5346485091233001,0.468603,0.507948,0.5617481085892301
ProximalPhalanxTW,0.777600569208,0.7752837830442,0.7905161184391001,in progress,0.7740162005364001,0.694965,0.670751,0.7873460675387226
ToeSegmentation2,0.4994742606791,0.4990945600584,0.6387002555676001,in progress,0.49989047097489997,0.502884,0.539029,0.5261774370208105
Computers,0.5004344689379,0.5004985971942999,0.5335262525051999,in progress,0.4995302605211,0.505739,0.499511,0.49912625250501
TwoPatterns,0.6306074334866,0.62777185037,0.6787096459291,in progress,0.5880986917383,0.710736,0.551127,0.6221549909981996
Fish,0.7782415063447,0.775628325829,0.8097699549733,in progress,0.7336291444943999,0.181302,0.782792,0.8075644699140401
NonInvasiveFetalECGThorax1,0.9703577754160999,0.9669841216078001,0.9506000934274,in progress,0.8853736312277999,0.705262,0.789691,0.9701080904860897
CricketZ,0.8573759915739,0.8352921233665,0.8642743820151001,in progress,0.6844241466707,0.808693,0.692426,0.8634409663934696
Crop,0.9387126998346,0.9354159704570002,0.7245169770964,in progress,0.9381040199593998,0.810706,0.839343,0.9360433073600289
RefrigerationDevices,0.5548158433466,0.5539649310192,0.5527811303961001,in progress,0.5547745438363,0.46364,0.335117,0.36629817534490433
Plane,0.9170334928231002,0.896345408977,0.9221007063112999,in progress,0.9664160401,1.0,0.954249,0.9487810435178856
UMD,0.6168590937305,0.600955927995,0.586939788951,in progress,0.6155803848542001,0.616574,0.599317,0.6157045313469894
SwedishLeaf,0.8888574139976001,0.8950189007513,0.8932082245945999,in progress,0.8731857651245999,0.382967,0.62731,0.8683827599841835
OSULeaf,0.7429771908764,0.7285652722626998,0.7718010281037,in progress,0.5457259827006999,0.354111,0.639959,0.7581596741260607
CinCECGTorso,0.6746204925111,0.668373085589,0.6148328023106,in progress,0.567919185302,0.749462,0.785819,0.6520283079732802
SonyAIBORobotSurface1,0.6687372084568999,0.617973092307,0.730604124461,in progress,0.7657763233078001,0.505023,0.512971,0.7059373539036933
SmoothSubspace,0.7451415830546001,0.6797480490525,0.5825284280936001,in progress,0.7129141583056,0.407447,0.700312,0.776164994425864
